subject_id,slice_idx,type,n_features,mse,rmse,variance_explained,n_components,tumor_percentage
BraTS20_Training_183,68,original,4,1.305410440999649e-32,1.1425455969017818e-16,0.9999999999999999,4,
BraTS20_Training_184,65,original,4,2.9904278179551627e-32,1.7292853489101105e-16,1.0000000000000002,4,
BraTS20_Training_185,48,original,4,1.4544146159503713e-32,1.205991134275195e-16,1.0,4,
BraTS20_Training_186,77,original,4,5.341483994281579e-32,2.3111650729191933e-16,1.0,4,
BraTS20_Training_187,94,original,4,5.2311544265635816e-33,7.232672000418367e-17,0.9999999999999999,4,
BraTS20_Training_188,70,original,4,8.112700906738637e-33,9.00705329546719e-17,1.0,4,
BraTS20_Training_189,107,original,4,3.110498902621098e-33,5.577184686399669e-17,0.9999999999999999,4,
BraTS20_Training_190,71,original,4,3.7127573755506756e-32,1.926851674507064e-16,1.0000000000000002,4,
BraTS20_Training_191,84,original,4,3.53052865472233e-32,1.878970104797394e-16,1.0000000000000002,4,
BraTS20_Training_192,90,original,4,4.703551011454499e-33,6.858243952685337e-17,0.9999999999999999,4,
BraTS20_Training_193,89,original,4,1.8893595004502642e-32,1.3745397413135293e-16,1.0,4,
BraTS20_Training_194,63,original,4,9.740954095119746e-33,9.869627194134409e-17,0.9999999999999999,4,
BraTS20_Training_195,44,original,4,1.8742432697024838e-32,1.3690300470415117e-16,0.9999999999999999,4,
BraTS20_Training_196,73,original,4,1.7068659613158292e-32,1.3064708038512874e-16,0.9999999999999999,4,
BraTS20_Training_197,84,original,4,4.7397255936282043e-32,2.1770910852851804e-16,1.0,4,
BraTS20_Training_198,64,original,4,1.4115636568785905e-32,1.1880924445844232e-16,1.0,4,
BraTS20_Training_199,97,original,4,2.798411228477469e-32,1.672845249411155e-16,1.0,4,
BraTS20_Training_200,50,original,4,8.545654924047466e-33,9.244271157883387e-17,0.9999999999999999,4,
BraTS20_Training_201,83,original,4,1.1287237306536818e-32,1.0624141050709379e-16,1.0000000000000002,4,
BraTS20_Training_202,62,original,4,1.0005212539371668e-32,1.0002605930142239e-16,1.0000000000000002,4,
BraTS20_Training_203,71,original,4,7.90754079362261e-33,8.892435433345923e-17,1.0,4,
BraTS20_Training_204,58,original,4,1.0427960016779585e-32,1.0211738351906391e-16,1.0,4,
BraTS20_Training_205,92,original,4,4.3203786208901236e-32,2.0785520491173954e-16,1.0,4,
BraTS20_Training_206,65,original,4,7.442075880893169e-33,8.626746710604855e-17,1.0000000000000002,4,
BraTS20_Training_207,96,original,4,1.2194990497627712e-32,1.1043093089179188e-16,0.9999999999999999,4,
BraTS20_Training_208,88,original,4,4.2869274841092257e-32,2.0704896725434844e-16,0.9999999999999999,4,
BraTS20_Training_209,56,original,4,1.191871406035395e-32,1.0917286320489149e-16,1.0,4,
BraTS20_Training_210,89,original,4,5.598362845649934e-33,7.482220823826261e-17,1.0,4,
BraTS20_Training_211,55,original,4,8.023025280227156e-33,8.957134184674893e-17,1.0,4,
BraTS20_Training_212,102,original,4,6.00312146329657e-32,2.4501268259615807e-16,1.0,4,
BraTS20_Training_213,52,original,4,6.090417832426425e-33,7.804112910783919e-17,1.0000000000000002,4,
BraTS20_Training_214,70,original,4,6.564603095141038e-32,2.5621481407485085e-16,1.0,4,
BraTS20_Training_215,61,original,4,4.7776387359467223e-32,2.185781035681919e-16,1.0000000000000002,4,
BraTS20_Training_216,83,original,4,6.978483365768852e-32,2.641681919870152e-16,1.0,4,
BraTS20_Training_217,51,original,4,1.6783946287219325e-32,1.2955287062515953e-16,1.0,4,
BraTS20_Training_218,65,original,4,9.864562132574499e-33,9.932050207572704e-17,1.0,4,
